"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"37139-5481","P","Max","Max Scherzer","Scherzer","47.5","20","12000","COL@WAS","WAS","COL","IL","Shoulder","","",""
"37139-79168","P","Walker","Walker Buehler","Buehler","37.89473684210526","19","11100","LAA@LOS","LOS","LAA","","","","",""
"37139-16959","P","Trevor","Trevor Bauer","Bauer","39.86363636363637","22","10900","CLE@TOR","CLE","TOR","","","","",""
"37139-5427","P","Clayton","Clayton Kershaw","Kershaw","38.588235294117645","17","10800","LAA@LOS","LOS","LAA","","","","",""
"37139-13664","P","Patrick","Patrick Corbin","Corbin","38.1","20","10800","COL@WAS","WAS","COL","","","","Yes",""
"37139-52859","P","Jacob","Jacob deGrom","deGrom","37.666666666666664","21","10800","SDP@NYM","NYM","SDP","","","","",""
"37139-37014","P","Hyun-Jin","Hyun-Jin Ryu","Ryu","38.15","20","10600","LAA@LOS","LOS","LAA","","","","",""
"37139-70559","P","Mike","Mike Clevinger","Clevinger","38.875","8","10200","CLE@TOR","CLE","TOR","","","","",""
"37139-13627","P","Corey","Corey Kluber","Kluber","24.571428571428573","7","10100","CLE@TOR","CLE","TOR","IL","Forearm","","",""
"37139-82554","P","Shane","Shane Bieber","Bieber","37.80952380952381","21","10100","CLE@TOR","CLE","TOR","","","","Yes",""
"37139-60644","P","Luis","Luis Severino","Severino","37.5","32","10000","NYY@MIN","NYY","MIN","IL","Lat","","",""
"37139-10978","P","Stephen","Stephen Strasburg","Strasburg","38.38095238095238","21","10000","COL@WAS","WAS","COL","","","","",""
"37139-52172","P","Noah","Noah Syndergaard","Syndergaard","32.473684210526315","19","10000","SDP@NYM","NYM","SDP","","","","Yes",""
"37139-60639","P","Jose","Jose Berrios","Berrios","35.15","20","9600","NYY@MIN","MIN","NYY","","","","",""
"37139-5983","P","Rich","Rich Hill","Hill","34.5","10","9600","LAA@LOS","LOS","LAA","IL","Forearm","","",""
"37139-79224","P","Chris","Chris Paddack","Paddack","33.625","16","9500","SDP@NYM","SDP","NYM","","","","",""
"37139-60633","P","Carlos","Carlos Rodon","Rodon","30.285714285714285","7","9400","MIA@CWS","CWS","MIA","IL","Elbow","","",""
"37139-6266","P","Carlos","Carlos Carrasco","Carrasco","29.666666666666668","12","9300","CLE@TOR","CLE","TOR","IL","Illness","","",""
"37139-65987","P","Domingo","Domingo German","German","34.625","16","9300","NYY@MIN","NYY","MIN","","","","",""
"37139-79073","P","Mike","Mike Soroka","Soroka","34.411764705882355","17","9200","KAN@ATL","ATL","KAN","","","","",""
"37139-16960","P","Zack","Zack Wheeler","Wheeler","33.73684210526316","19","9100","SDP@NYM","NYM","SDP","IL","Shoulder","","",""
"37139-21098","P","James","James Paxton","Paxton","30.294117647058822","17","9000","NYY@MIN","NYY","MIN","","","","",""
