"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"37097-5481","P","Max","Max Scherzer","Scherzer","47.5","20","12000","COL@WAS","WAS","COL","IL","Shoulder","","",""
"37097-16956","P","Gerrit","Gerrit Cole","Cole","45.714285714285715","21","11700","OAK@HOU","HOU","OAK","","","","Yes",""
"37097-5466","P","Charlie","Charlie Morton","Morton","39.76190476190476","21","11000","BOS@TAM","TAM","BOS","","","","",""
"37097-16959","P","Trevor","Trevor Bauer","Bauer","39.86363636363637","22","10900","CLE@TOR","CLE","TOR","","","","",""
"37097-5202","P","Justin","Justin Verlander","Verlander","44.285714285714285","21","10900","OAK@HOU","HOU","OAK","","","","",""
"37097-13664","P","Patrick","Patrick Corbin","Corbin","38.1","20","10800","COL@WAS","WAS","COL","","","","",""
"37097-52183","P","Tyler","Tyler Glasnow","Glasnow","42","8","10700","BOS@TAM","TAM","BOS","IL","Forearm","","",""
"37097-82554","P","Shane","Shane Bieber","Bieber","37.80952380952381","21","10600","CLE@TOR","CLE","TOR","","","","",""
"37097-79162","P","Luis","Luis Castillo","Castillo","39.05","20","10500","CIN@MIL","CIN","MIL","","","","",""
"37097-70559","P","Mike","Mike Clevinger","Clevinger","38.285714285714285","7","10200","CLE@TOR","CLE","TOR","","","","Yes",""
"37097-80582","P","Brandon","Brandon Woodruff","Woodruff","29.75","24","10100","CIN@MIL","MIL","CIN","","","","",""
"37097-13627","P","Corey","Corey Kluber","Kluber","24.571428571428573","7","10100","CLE@TOR","CLE","TOR","IL","Forearm","","",""
"37097-12477","P","Chris","Chris Sale","Sale","38.7","20","10000","BOS@TAM","BOS","TAM","","","","",""
"37097-10978","P","Stephen","Stephen Strasburg","Strasburg","38.38095238095238","21","10000","COL@WAS","WAS","COL","","","","Yes",""
"37097-68488","P","Blake","Blake Snell","Snell","32.15","20","10000","BOS@TAM","TAM","BOS","","","","",""
