"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","Probable Pitcher","Batting Order"
"37097-68561","P","Luke","Luke Weaver","Weaver","31.333333333333332","12","10000","BAL@ARI","ARI","BAL","IL","Elbow","","",""
"37097-60644","P","Luis","Luis Severino","Severino","37.5","32","10000","NYY@MIN","NYY","MIN","IL","Lat","","",""
"37097-11354","P","Lance","Lance Lynn","Lynn","38.35","20","9600","TEX@SEA","TEX","SEA","","","","",""
"37097-60639","P","Jose","Jose Berrios","Berrios","35.15","20","9600","NYY@MIN","MIN","NYY","","","","",""
"37097-53029","P","Robbie","Robbie Ray","Ray","34.76190476190476","21","9600","BAL@ARI","ARI","BAL","","","","Yes",""
"37097-60633","P","Carlos","Carlos Rodon","Rodon","30.285714285714285","7","9400","MIA@CWS","CWS","MIA","IL","Elbow","","",""
"37097-6266","P","Carlos","Carlos Carrasco","Carrasco","29.666666666666668","12","9300","CLE@TOR","CLE","TOR","IL","Illness","","",""
"37097-21098","P","James","James Paxton","Paxton","30.294117647058822","17","9300","NYY@MIN","NYY","MIN","","","","",""
"37097-5525","P","Cole","Cole Hamels","Hamels","35.25","16","9200","CHC@SFG","CHC","SFG","IL","Oblique","","",""
"37097-6311","P","Madison","Madison Bumgarner","Bumgarner","32.904761904761905","21","9100","CHC@SFG","SFG","CHC","","","","",""
"37097-12481","P","Mike","Mike Minor","Minor","35.666666666666664","21","9100","TEX@SEA","TEX","SEA","","","","",""
"37097-65987","P","Domingo","Domingo German","German","34.625","16","9100","NYY@MIN","NYY","MIN","","","","",""
"37097-5784","P","David","David Price","Price","31","18","9100","BOS@TAM","BOS","TAM","","","","",""
"37097-63781","P","Frankie","Frankie Montas","Montas","38.53333333333333","15","9000","OAK@HOU","OAK","HOU","NA","Not injury related","","",""
"37097-5522","P","Zack","Zack Greinke","Greinke","31.916666666666668","24","9000","BAL@ARI","ARI","BAL","","","","",""
"37097-52198","P","Lucas","Lucas Giolito","Giolito","38.36842105263158","19","8800","MIA@CWS","CWS","MIA","","","","",""
"37097-53398","P","Kyle","Kyle Hendricks","Hendricks","31.470588235294116","17","8700","CHC@SFG","CHC","SFG","","","","",""
"37097-21099","P","Jose","Jose Quintana","Quintana","27.2","20","8700","CHC@SFG","CHC","SFG","","","","",""
"37097-5369","P","Jon","Jon Lester","Lester","29.4","20","8700","CHC@SFG","CHC","SFG","","","","",""
"37097-17064","P","Sonny","Sonny Gray","Gray","29.285714285714285","21","8600","CIN@MIL","CIN","MIL","","","","Yes",""
"37097-81051","P","Caleb","Caleb Smith","Smith","32.375","16","8500","MIA@CWS","MIA","CWS","","","","",""
"37097-12864","P","Michael","Michael Pineda","Pineda","26.944444444444443","18","8400","NYY@MIN","MIN","NYY","","","","",""
"37097-12921","P","Chris","Chris Archer","Archer","27.41176470588235","17","8300","STL@PIT","PIT","STL","","","","",""
"37097-52268","P","Masahiro","Masahiro Tanaka","Tanaka","28.55","20","8300","NYY@MIN","NYY","MIN","","","","",""
"37097-13444","P","Mike","Mike Fiers","Fiers","26.857142857142858","21","8300","OAK@HOU","OAK","HOU","","","","",""
"37097-101823","P","Jordan","Jordan Yamamoto","Yamamoto","31.714285714285715","7","8300","MIA@CWS","MIA","CWS","","","","",""
"37097-6151","P","Anibal","Anibal Sanchez","Sanchez","26.166666666666668","18","8200","COL@WAS","WAS","COL","","","","",""
"37097-83152","P","Pablo","Pablo Lopez","Lopez","26.6","15","8200","MIA@CWS","MIA","CWS","IL","Shoulder","","",""
"37097-79246","P","Jack","Jack Flaherty","Flaherty","24.75","24","8200","STL@PIT","STL","PIT","","","","",""
"37097-17116","P","Jake","Jake Odorizzi","Odorizzi","30.789473684210527","19","8100","NYY@MIN","MIN","NYY","","","","",""
"37097-68523","P","Joe","Joe Musgrove","Musgrove","18.833333333333332","30","8100","STL@PIT","PIT","STL","","","","",""
"37097-5431","P","Adam","Adam Wainwright","Wainwright","27.444444444444443","18","8100","STL@PIT","STL","PIT","","","","",""
"37097-52142","P","Eduardo","Eduardo Rodriguez","Rodriguez","31.9","20","8000","BOS@TAM","BOS","TAM","","","","Yes",""
"37097-97300","P","John","John Means","Means","24.25","20","8000","BAL@ARI","BAL","ARI","","","","",""
"37097-5416","P","Brett","Brett Anderson","Anderson","23.6","20","8000","OAK@HOU","OAK","HOU","DTD","Finger","","",""
"37097-11339","P","Mike","Mike Leake","Leake","28.25","20","7900","TEX@SEA","SEA","TEX","","","","",""
"37097-79254","P","Dakota","Dakota Hudson","Hudson","25.45","20","7900","STL@PIT","STL","PIT","","","","",""
"37097-12269","P","Andrew","Andrew Cashner","Cashner","25.842105263157894","19","7900","BOS@TAM","BOS","TAM","","","","",""
"37097-5547","P","CC","CC Sabathia","Sabathia","28","15","7800","NYY@MIN","NYY","MIN","","","","Yes",""
"37097-53607","P","Anthony","Anthony DeSclafani","DeSclafani","27.842105263157894","19","7700","CIN@MIL","CIN","MIL","","","","",""
"37097-16957","P","Dylan","Dylan Bundy","Bundy","24.944444444444443","18","7700","BAL@ARI","BAL","ARI","IL","Knee","","",""
"37097-12972","P","Wade","Wade Miley","Miley","29.6","20","7700","OAK@HOU","HOU","OAK","","","","",""
"37097-82647","P","Brendan","Brendan McKay","McKay","19.6","5","7700","BOS@TAM","TAM","BOS","","","","",""
"37097-6149","P","Jeff","Jeff Samardzija","Samardzija","26.75","20","7600","CHC@SFG","SFG","CHC","","","","",""
"37097-16931","P","Yu","Yu Darvish","Darvish","29.25","20","7600","CHC@SFG","CHC","SFG","","","","",""
"37097-17164","P","Matt","Matt Shoemaker","Shoemaker","34.6","5","7500","CLE@TOR","TOR","CLE","IL","Knee","","",""
"37097-38101","P","Tanner","Tanner Roark","Roark","27.36842105263158","19","7500","CIN@MIL","CIN","MIL","","","","",""
"37097-12936","P","Kyle","Kyle Gibson","Gibson","28.75","20","7400","NYY@MIN","MIN","NYY","","","","",""
"37097-52190","P","Marco","Marco Gonzales","Gonzales","25.857142857142858","21","7400","TEX@SEA","SEA","TEX","","","","Yes",""
"37097-70634","P","Daniel","Daniel Mengden","Mengden","24.333333333333332","9","7400","OAK@HOU","OAK","HOU","","","","",""
"37097-38028","P","Alex","Alex Wood","Wood","23.636363636363637","33","7400","CIN@MIL","CIN","MIL","IL","Back","","",""
"37097-5767","P","J.A.","J.A. Happ","Happ","22.9","20","7400","NYY@MIN","NYY","MIN","","","","",""
"37097-16961","P","Jameson","Jameson Taillon","Taillon","25","7","7300","STL@PIT","PIT","STL","IL","Elbow","","",""
"37097-82840","P","Yonny","Yonny Chirinos","Chirinos","29.6","20","7300","BOS@TAM","TAM","BOS","","","","Yes",""
"37097-52155","P","Jon","Jon Gray","Gray","30.272727272727273","22","7200","COL@WAS","COL","WAS","","","","",""
"37097-38161","P","Chase","Chase Anderson","Anderson","20.473684210526315","19","7200","CIN@MIL","MIL","CIN","","","","Yes",""
"37097-79245","P","Sandy","Sandy Alcantara","Alcantara","24.526315789473685","19","7200","MIA@CWS","MIA","CWS","","","","",""
"37097-104672","P","Devin","Devin Smeltzer","Smeltzer","25","3","7100","NYY@MIN","MIN","NYY","","","","",""
"37097-53608","P","Jose","Jose Urena","Urena","22.571428571428573","14","7100","MIA@CWS","MIA","CWS","IL","Back","","",""
"37097-82546","P","Adbert","Adbert Alzolay","Alzolay","16.333333333333332","3","7100","CHC@SFG","CHC","SFG","IL","Biceps","","",""
"37097-82653","P","Ryan","Ryan Borucki","Borucki","25.647058823529413","17","7100","CLE@TOR","TOR","CLE","IL","Elbow","","Yes",""
"37097-68485","P","Ryan","Ryan Yarbrough","Yarbrough","22.625","16","7100","BOS@TAM","TAM","BOS","","","","",""
"37097-68551","P","Tyler","Tyler Beede","Beede","22.153846153846153","13","7100","CHC@SFG","SFG","CHC","","","","",""
"37097-101881","P","Merrill","Merrill Kelly","Kelly","28.1","20","7100","BAL@ARI","ARI","BAL","","","","",""
"37097-39041","P","Marcus","Marcus Stroman","Stroman","30","20","7000","CLE@TOR","TOR","CLE","","","","",""
"37097-68490","P","Austin","Austin Voth","Voth","26.5","4","7000","COL@WAS","WAS","COL","IL","Shoulder","","",""
"37097-70561","P","Alec","Alec Mills","Mills","31","1","7000","CHC@SFG","CHC","SFG","","","","Yes",""
"37097-68529","P","Jharel","Jharel Cotton","Cotton","0","0","7000","OAK@HOU","OAK","HOU","IL","Elbow","","",""
"37097-85251","P","Zac","Zac Gallen","Gallen","23.6","5","7000","MIA@CWS","MIA","CWS","","","","",""
"37097-5659","P","Rick","Rick Porcello","Porcello","23.3","20","7000","BOS@TAM","BOS","TAM","","","","",""
"37097-53067","P","Chris","Chris Bassitt","Bassitt","28.75","16","7000","OAK@HOU","OAK","HOU","","","","",""
"37097-104584","P","Zach","Zach Plesac","Plesac","26.3","10","6900","CLE@TOR","CLE","TOR","","","","",""
"37097-82810","P","Elieser","Elieser Hernandez","Hernandez","15.454545454545455","11","6900","MIA@CWS","MIA","CWS","","","","",""
"37097-68491","P","Reynaldo","Reynaldo Lopez","Lopez","24.65","20","6900","MIA@CWS","CWS","MIA","","","","",""
"37097-73301","P","Brent","Brent Suter","Suter","22","21","6900","CIN@MIL","MIL","CIN","IL","Elbow","","",""
"37097-5790","P","Homer","Homer Bailey","Bailey","25","19","6900","OAK@HOU","OAK","HOU","","","","Yes",""
"37097-79853","P","Jordan","Jordan Montgomery","Montgomery","23","6","6900","NYY@MIN","NYY","MIN","IL","Shoulder","","",""
"37097-17121","P","Miles","Miles Mikolas","Mikolas","25.5","20","6800","STL@PIT","STL","PIT","","","","",""
"37097-79091","P","Dylan","Dylan Cease","Cease","24","3","6800","MIA@CWS","CWS","MIA","","","","",""
"37097-85255","P","Shaun","Shaun Anderson","Anderson","20.5","12","6800","CHC@SFG","SFG","CHC","","","","Yes",""
"37097-23834","P","Collin","Collin McHugh","McHugh","14.1","20","6800","OAK@HOU","HOU","OAK","","","","",""
"37097-65988","P","Zach","Zach Davies","Davies","22.217391304347824","23","6700","CIN@MIL","MIL","CIN","","","","",""
"37097-84476","P","Daniel","Daniel Ponce de Leon","Ponce de Leon","26.25","8","6700","STL@PIT","STL","PIT","","","","Yes",""
"37097-6206","P","Edinson","Edinson Volquez","Volquez","11.5","2","6600","TEX@SEA","TEX","SEA","IL","Elbow","","",""
"37097-11328","P","Martin","Martin Perez","Perez","26.736842105263158","19","6600","NYY@MIN","MIN","NYY","","","","Yes",""
"37097-15234","P","Brad","Brad Peacock","Peacock","27.352941176470587","17","6500","OAK@HOU","HOU","OAK","IL","Shoulder","","",""
"37097-5320","P","Gio","Gio Gonzalez","Gonzalez","22.285714285714285","7","6500","CIN@MIL","MIL","CIN","","","","",""
"37097-38164","P","Jimmy","Jimmy Nelson","Nelson","12","4","6500","CIN@MIL","MIL","CIN","IL","Elbow","","",""
"37097-79191","P","Fernando","Fernando Romero","Romero","4.714285714285714","7","6500","NYY@MIN","MIN","NYY","","","","",""
"37097-101854","P","Jacob","Jacob Waguespack","Waguespack","21.75","4","6500","CLE@TOR","TOR","CLE","","","","",""
"37097-12175","P","Ivan","Ivan Nova","Nova","19.2","20","6500","MIA@CWS","CWS","MIA","","","","Yes",""
"37097-73880","P","German","German Marquez","Marquez","29.043478260869566","23","6400","COL@WAS","COL","WAS","","","","",""
"37097-83189","P","Jefry","Jefry Rodriguez","Rodriguez","22","8","6400","CLE@TOR","CLE","TOR","IL","Shoulder","","",""
"37097-54130","P","Ryan","Ryan Weber","Weber","11.375","8","6300","BOS@TAM","BOS","TAM","","","","",""
"37097-13233","P","Nathan","Nathan Eovaldi","Eovaldi","18.25","4","6300","BOS@TAM","BOS","TAM","","","","",""
"37097-37999","P","Michael","Michael Wacha","Wacha","19.88235294117647","17","6300","STL@PIT","STL","PIT","","","","",""
"37097-83148","P","Dario","Dario Agrazal","Agrazal","23.25","4","6300","STL@PIT","PIT","STL","","","","Yes",""
"37097-79067","P","Alex","Alex Young","Young","27.75","4","6300","BAL@ARI","ARI","BAL","","","","",""
"37097-79239","P","Andrew","Andrew Suarez","Suarez","9","3","6300","CHC@SFG","SFG","CHC","","","","",""
"37097-101855","P","Trent","Trent Thornton","Thornton","21.857142857142858","21","6300","CLE@TOR","TOR","CLE","","","","",""
"37097-5661","P","Felix","Felix Hernandez","Hernandez","18.5","8","6300","TEX@SEA","SEA","TEX","IL","Lat","","",""
"37097-5885","P","Jhoulys","Jhoulys Chacin","Chacin","19.666666666666668","18","6300","CIN@MIL","MIL","CIN","","","","",""
"37097-102334","P","Corbin","Corbin Martin","Martin","17","5","6300","OAK@HOU","HOU","OAK","IL","Elbow","","",""
"37097-12929","P","Jordan","Jordan Lyles","Lyles","26.5625","16","6200","STL@PIT","PIT","STL","","","","",""
"37097-68469","P","Adam","Adam Plutko","Plutko","21.666666666666668","9","6200","CLE@TOR","CLE","TOR","","","","",""
"37097-15221","P","Tommy","Tommy Milone","Milone","22.818181818181817","11","6200","TEX@SEA","SEA","TEX","","","","",""
"37097-68483","P","Trevor","Trevor Williams","Williams","24.846153846153847","13","6200","STL@PIT","PIT","STL","DTD","Illness","","",""
"37097-68528","P","Chase","Chase De Jong","De Jong","-9","1","6200","NYY@MIN","MIN","NYY","","","","",""
"37097-82935","P","Trevor","Trevor Richards","Richards","24.5","20","6200","MIA@CWS","MIA","CWS","","","","Yes",""
"37097-83163","P","Jonathan","Jonathan Loaisiga","Loaisiga","16.5","4","6200","NYY@MIN","NYY","MIN","IL","Shoulder","","",""
"37097-83190","P","Freddy","Freddy Peralta","Peralta","17.19047619047619","21","6200","CIN@MIL","MIL","CIN","","","","",""
"37097-71188","P","Steven","Steven Brault","Brault","15.411764705882353","17","6200","STL@PIT","PIT","STL","IL","Shoulder","","",""
"37097-79109","P","Tyler","Tyler Mahle","Mahle","23.285714285714285","21","6100","CIN@MIL","CIN","MIL","DTD","Hamstring","","",""
"37097-79117","P","Peter","Peter Lambert","Lambert","17.714285714285715","7","6100","COL@WAS","COL","WAS","","","","Yes",""
"37097-102001","P","Yusei","Yusei Kikuchi","Kikuchi","21.2","20","6100","TEX@SEA","SEA","TEX","","","","",""
"37097-10968","P","Jeremy","Jeremy Hellickson","Hellickson","15.777777777777779","9","6000","COL@WAS","WAS","COL","IL","Shoulder","","",""
"37097-68493","P","David","David Hess","Hess","13.8125","16","6000","BAL@ARI","BAL","ARI","","","","",""
"37097-5197","P","Clay","Clay Buchholz","Buchholz","12","5","6000","CLE@TOR","TOR","CLE","IL","Shoulder","","",""
"37097-79268","P","Ariel","Ariel Jurado","Jurado","15.095238095238095","21","6000","TEX@SEA","TEX","SEA","","","","",""
"37097-85599","P","Framber","Framber Valdez","Valdez","10.9","20","6000","OAK@HOU","HOU","OAK","","","","",""
"37097-82528","P","Jon","Jon Duplantier","Duplantier","14.625","8","5900","BAL@ARI","ARI","BAL","","","","",""
"37097-82751","P","Joe","Joe Palumbo","Palumbo","5","3","5900","TEX@SEA","TEX","SEA","DTD","Ankle","","Yes",""
"37097-80859","P","Paul","Paul Blackburn","Blackburn","6","1","5900","OAK@HOU","OAK","HOU","","","","",""
"37097-66766","P","Adrian","Adrian Houser","Houser","12.285714285714286","21","5900","CIN@MIL","MIL","CIN","","","","",""
"37097-79066","P","Anthony","Anthony Banda","Banda","20.666666666666668","3","5900","BOS@TAM","TAM","BOS","IL","Elbow","","",""
"37097-79275","P","Sean","Sean Reid-Foley","Reid-Foley","14.75","4","5900","CLE@TOR","TOR","CLE","","","","",""
"37097-6018","P","Wade","Wade LeBlanc","LeBlanc","20.8","15","5900","TEX@SEA","SEA","TEX","","","","",""
"37097-6320","P","Marco","Marco Estrada","Estrada","10.8","5","5800","OAK@HOU","OAK","HOU","IL","Back","","",""
"37097-110823","P","Tom","Tom Eshelman","Eshelman","13.333333333333334","3","5800","BAL@ARI","BAL","ARI","","","","",""
"37097-82539","P","Jalen","Jalen Beeks","Beeks","16.6","20","5800","BOS@TAM","TAM","BOS","","","","",""
"37097-13123","P","Alex","Alex Cobb","Cobb","5.333333333333333","3","5800","BAL@ARI","BAL","ARI","IL","Hip","","",""
"37097-70649","P","Adrian","Adrian Sampson","Sampson","19.272727272727273","22","5800","TEX@SEA","TEX","SEA","","","","",""
"37097-13438","P","Drew","Drew Pomeranz","Pomeranz","19.88235294117647","17","5800","CHC@SFG","SFG","CHC","","","","",""
"37097-60656","P","Jeff","Jeff Hoffman","Hoffman","15.444444444444445","9","5800","COL@WAS","COL","WAS","","","","",""
"37097-12943","P","Shelby","Shelby Miller","Miller","5.368421052631579","19","5700","CIN@MIL","MIL","CIN","","","","",""
"37097-68517","P","Antonio","Antonio Senzatela","Senzatela","17.72222222222222","18","5700","COL@WAS","COL","WAS","","","","",""
"37097-54445","P","Asher","Asher Wojciechowski","Wojciechowski","28.4","5","5700","BAL@ARI","BAL","ARI","","","","",""
"37097-79071","P","Taylor","Taylor Clarke","Clarke","14","11","5700","BAL@ARI","ARI","BAL","","","","",""
"37097-85531","P","Josh","Josh James","James","8.81578947368421","38","5700","OAK@HOU","HOU","OAK","DTD","Undisclosed","","",""
"37097-63827","P","Zack","Zack Godley","Godley","9.916666666666666","24","5600","BAL@ARI","ARI","BAL","","","","",""
"37097-53599","P","Chi Chi","Chi Chi Gonzalez","Gonzalez","16","3","5600","COL@WAS","COL","WAS","","","","",""
"37097-82579","P","Rogelio","Rogelio Armenteros","Armenteros","16","3","5600","OAK@HOU","HOU","OAK","","","","",""
"37097-84735","P","Tanner","Tanner Anderson","Anderson","15","4","5600","OAK@HOU","OAK","HOU","","","","",""
"37097-68545","P","Stephen","Stephen Tarpley","Tarpley","5.230769230769231","13","5600","NYY@MIN","NYY","MIN","","","","",""
"37097-68564","P","Erick","Erick Fedde","Fedde","14.25","12","5600","COL@WAS","WAS","COL","","","","",""
"37097-52194","P","Aaron","Aaron Sanchez","Sanchez","17.714285714285715","21","5600","CLE@TOR","TOR","CLE","","","","",""
"37097-5125","P","Edwin","Edwin Jackson","Jackson","5.375","8","5600","CLE@TOR","TOR","CLE","","","","",""
"37097-79252","P","Andrew","Andrew Moore","Moore","8","1","5600","TEX@SEA","SEA","TEX","","","","",""
"37097-101845","P","Genesis","Genesis Cabrera","Cabrera","8.2","5","5600","STL@PIT","STL","PIT","","","","",""
"37097-5796","P","Clayton","Clayton Richard","Richard","13","10","5600","CLE@TOR","TOR","CLE","IL","Lat","","",""
"37097-63476","P","Brian","Brian Johnson","Johnson","7.125","8","5600","BOS@TAM","BOS","TAM","IL","Infection","","",""
"37097-79873","P","Dylan","Dylan Covey","Covey","10.5","12","5500","MIA@CWS","CWS","MIA","","","","",""
"37097-81925","P","Richard","Richard Rodriguez","Rodriguez","4.3478260869565215","46","5500","STL@PIT","PIT","STL","","","","",""
"37097-79882","P","Austin","Austin Pruitt","Pruitt","11","7","5500","BOS@TAM","TAM","BOS","IL","Undisclosed","","",""
"37097-81949","P","Jace","Jace Fry","Fry","4.7317073170731705","41","5500","MIA@CWS","CWS","MIA","","","","",""
"37097-110636","P","Cy","Cy Sneed","Sneed","25.5","2","5500","OAK@HOU","HOU","OAK","","","","",""
"37097-6192","P","Carlos","Carlos Torres","Torres","6.75","4","5500","NYY@MIN","MIN","NYY","","","","",""
"37097-79927","P","Stefan","Stefan Crichton","Crichton","5.888888888888889","9","5500","BAL@ARI","ARI","BAL","","","","",""
"37097-104512","P","Geoff","Geoff Hartlieb","Hartlieb","4.714285714285714","14","5500","STL@PIT","PIT","STL","","","","",""
"37097-38981","P","Brandon","Brandon Workman","Workman","7.369565217391305","46","5500","BOS@TAM","BOS","TAM","","","","",""
"37097-79959","P","Dovydas","Dovydas Neverauskas","Neverauskas","3.4444444444444446","9","5500","STL@PIT","PIT","STL","","","","",""
"37097-79960","P","Paul","Paul Fry","Fry","4.325","40","5500","BAL@ARI","BAL","ARI","","","","",""
"37097-39003","P","Jairo","Jairo Diaz","Diaz","5.0344827586206895","29","5500","COL@WAS","COL","WAS","","","","",""
"37097-73828","P","Dan","Dan Altavilla","Altavilla","1.6","5","5500","TEX@SEA","SEA","TEX","IL","Elbow","","",""
"37097-12394","P","Brian","Brian Schlitter","Schlitter","3.5","4","5500","OAK@HOU","OAK","HOU","","","","",""
"37097-73835","P","Ty","Ty Blach","Blach","-1","2","5500","CHC@SFG","SFG","CHC","","","","",""
"37097-73836","P","Juan","Juan Minaya","Minaya","5.818181818181818","22","5500","MIA@CWS","CWS","MIA","","","","",""
"37097-73838","P","Yohander","Yohander Mendez","Mendez","12.75","8","5500","TEX@SEA","TEX","SEA","IL","Elbow","","",""
"37097-6257","P","Pedro","Pedro Strop","Strop","4.586206896551724","29","5500","CHC@SFG","CHC","SFG","","","","",""
"37097-82037","P","Gabriel","Gabriel Moya","Moya","4.6571428571428575","35","5500","NYY@MIN","MIN","NYY","","","","",""
"37097-82039","P","Aaron","Aaron Wilkerson","Wilkerson","6.8","5","5500","CIN@MIL","MIL","CIN","","","","",""
"37097-104582","P","Josh","Josh Smith","Smith","5.5","6","5500","CLE@TOR","CLE","TOR","","","","",""
"37097-73865","P","Jonathan","Jonathan Holder","Holder","5.67741935483871","31","5500","NYY@MIN","NYY","MIN","","","","",""
"37097-73864","P","Brady","Brady Rodgers","Rodgers","0","3","5500","OAK@HOU","HOU","OAK","IL","Undisclosed","","",""
"37097-73867","P","Ray","Ray Black","Black","9","2","5500","CHC@SFG","SFG","CHC","","","","",""
"37097-73866","P","Wandy","Wandy Peralta","Peralta","3.4193548387096775","31","5500","CIN@MIL","CIN","MIL","","","","",""
"37097-6290","P","Wade","Wade Davis","Davis","3.757575757575758","33","5500","COL@WAS","COL","WAS","","","","",""
"37097-12435","P","Jeanmar","Jeanmar Gomez","Gomez","2.5","16","5500","TEX@SEA","TEX","SEA","","","","",""
"37097-6295","P","Daniel","Daniel Hudson","Hudson","6.15","40","5500","CLE@TOR","TOR","CLE","","","","",""
"37097-73878","P","Matt","Matt Koch","Koch","2.888888888888889","9","5500","BAL@ARI","ARI","BAL","","","","",""
"37097-6296","P","Mike","Mike Dunn","Dunn","2.2142857142857144","28","5500","COL@WAS","COL","WAS","","","","",""
"37097-80033","P","Emilio","Emilio Pagan","Pagan","7.102564102564102","39","5500","BOS@TAM","TAM","BOS","","","","",""
"37097-80035","P","Bobby","Bobby Wahl","Wahl","2.7142857142857144","7","5500","CIN@MIL","MIL","CIN","IL","Knee","","",""
"37097-80034","P","Jose","Jose Alvarado","Alvarado","4.758620689655173","29","5500","BOS@TAM","TAM","BOS","IL","Oblique","","",""
"37097-39081","P","Chasen","Chasen Shreve","Shreve","4","2","5500","STL@PIT","STL","PIT","","","","",""
"37097-102568","P","Colin","Colin Poche","Poche","5.9","20","5500","BOS@TAM","TAM","BOS","","","","",""
"37097-12463","P","Greg","Greg Holland","Holland","5.382352941176471","34","5500","BAL@ARI","ARI","BAL","","","","",""
"37097-39101","P","Nick","Nick Goody","Goody","8.3125","16","5500","CLE@TOR","CLE","TOR","","","","",""
"37097-71875","P","Mike","Mike Mayers","Mayers","4.25","8","5500","STL@PIT","STL","PIT","IL","Lat","","",""
"37097-110822","P","Jose","Jose Urquidy","Urquidy","25.333333333333332","3","5500","OAK@HOU","HOU","OAK","","","","",""
"37097-110824","P","Trevor","Trevor Kelley","Kelley","-3","1","5500","BOS@TAM","BOS","TAM","","","","",""
"37097-12523","P","Jeremy","Jeremy Jeffress","Jeffress","5.472222222222222","36","5500","CIN@MIL","MIL","CIN","","","","",""
"37097-12581","P","Brandon","Brandon Kintzler","Kintzler","4.833333333333333","42","5500","CHC@SFG","CHC","SFG","","","","",""
"37097-53550","P","Alex","Alex Reyes","Reyes","-0.75","4","5500","STL@PIT","STL","PIT","IL","Pectoral","","",""
"37097-53551","P","Sam","Sam Tuivailala","Tuivailala","4.5","2","5500","TEX@SEA","SEA","TEX","","","","",""
"37097-12594","P","Jake","Jake McGee","McGee","4.541666666666667","24","5500","COL@WAS","COL","WAS","","","","",""
"37097-12675","P","Steve","Steve Cishek","Cishek","5.173913043478261","46","5500","CHC@SFG","CHC","SFG","","","","",""
"37097-61858","P","Raisel","Raisel Iglesias","Iglesias","6.1","40","5500","CIN@MIL","CIN","MIL","","","","",""
"37097-57770","P","Alex","Alex Claudio","Claudio","3.1538461538461537","52","5500","CIN@MIL","MIL","CIN","","","","",""
"37097-65968","P","Silvino","Silvino Bracho","Bracho","5.612903225806452","31","5500","BAL@ARI","ARI","BAL","IL","Elbow","","",""
"37097-84431","P","Dereck","Dereck Rodriguez","Rodriguez","12.421052631578947","19","5500","CHC@SFG","SFG","CHC","","","","",""
"37097-80345","P","Reyes","Reyes Moronta","Moronta","7.121951219512195","41","5500","CHC@SFG","SFG","CHC","","","","",""
"37097-80344","P","Sam","Sam Gaviglio","Gaviglio","9.030303030303031","33","5500","CLE@TOR","TOR","CLE","","","","",""
"37097-80346","P","Giovanny","Giovanny Gallegos","Gallegos","8.128205128205128","39","5500","STL@PIT","STL","PIT","","","","",""
"37097-53753","P","Jimmie","Jimmie Sherfy","Sherfy","10.6","5","5500","BAL@ARI","ARI","BAL","IL","Upper body","","",""
"37097-96760","P","Kyle","Kyle McGowin","McGowin","10.5","4","5500","COL@WAS","WAS","COL","","","","",""
"37097-80381","P","Hector","Hector Velazquez","Velazquez","7.875","24","5500","BOS@TAM","BOS","TAM","","","","",""
"37097-82430","P","Yoshihisa","Yoshihisa Hirano","Hirano","4.619047619047619","42","5500","BAL@ARI","ARI","BAL","","","","",""
"37097-16922","P","Wei-Yin","Wei-Yin Chen","Chen","3.857142857142857","28","5500","MIA@CWS","MIA","CWS","","","","",""
"37097-64044","P","Tyler","Tyler Duffey","Duffey","6.068965517241379","29","5500","NYY@MIN","MIN","NYY","","","","",""
